Time,Open,High,Low,Close,Volume
2024-03-19 09:00:00+00:00,1.08476,1.08502,1.08348,1.08368,3632.0
2024-03-19 10:00:00+00:00,1.08368,1.0846,1.08368,1.08444,3615.0
2024-03-19 11:00:00+00:00,1.08444,1.08518,1.0843,1.08504,2582.0
2024-03-19 12:00:00+00:00,1.08504,1.08562,1.08458,1.08518,4950.0
2024-03-19 13:00:00+00:00,1.08518,1.08574,1.08492,1.08543,4390.0
2024-03-19 14:00:00+00:00,1.08543,1.08655,1.08538,1.08624,4324.0
2024-03-19 15:00:00+00:00,1.08624,1.08624,1.08532,1.08585,3033.0
2024-03-19 16:00:00+00:00,1.08585,1.08639,1.08545,1.08634,3454.0
2024-03-19 17:00:00+00:00,1.08634,1.08676,1.08598,1.08636,2916.0
2024-03-19 18:00:00+00:00,1.08636,1.08653,1.08614,1.08627,2012.0
2024-03-19 19:00:00+00:00,1.08627,1.08658,1.0861,1.08648,1974.0
2024-03-19 20:00:00+00:00,1.08648,1.08665,1.08642,1.08661,842.0
2024-03-19 21:00:00+00:00,1.08661,1.08676,1.08631,1.0866,4072.0
2024-03-19 22:00:00+00:00,1.0866,1.08666,1.08648,1.08656,480.0
2024-03-19 23:00:00+00:00,1.08656,1.08666,1.08618,1.08618,1009.0
2024-03-20 00:00:00+00:00,1.08618,1.08651,1.08582,1.08644,1607.0
2024-03-20 01:00:00+00:00,1.08644,1.08658,1.08622,1.08643,1456.0
2024-03-20 02:00:00+00:00,1.08643,1.08695,1.08626,1.08689,1047.0
2024-03-20 03:00:00+00:00,1.08689,1.08712,1.08678,1.087,1071.0
2024-03-20 04:00:00+00:00,1.087,1.08706,1.08663,1.08668,1242.0
2024-03-20 05:00:00+00:00,1.08668,1.08685,1.08654,1.08658,1232.0
2024-03-20 06:00:00+00:00,1.08658,1.08707,1.08652,1.08705,1219.0
2024-03-20 07:00:00+00:00,1.08705,1.08722,1.0865,1.08654,3194.0
2024-03-20 08:00:00+00:00,1.08654,1.08654,1.08501,1.08522,3199.0
2024-03-20 09:00:00+00:00,1.08522,1.08524,1.08366,1.08392,3559.0
2024-03-20 10:00:00+00:00,1.08392,1.0843,1.08365,1.08397,2529.0
2024-03-20 11:00:00+00:00,1.08397,1.08438,1.08372,1.08428,2221.0
2024-03-20 12:00:00+00:00,1.08428,1.08451,1.08379,1.08424,2929.0
2024-03-20 13:00:00+00:00,1.08424,1.08456,1.08373,1.08447,3108.0
2024-03-20 14:00:00+00:00,1.08447,1.08515,1.08438,1.08498,3161.0
2024-03-20 15:00:00+00:00,1.08498,1.08563,1.08488,1.08546,2317.0
2024-03-20 16:00:00+00:00,1.08546,1.08613,1.08536,1.08608,1843.0
2024-03-20 17:00:00+00:00,1.08608,1.0867,1.08586,1.0865,2218.0
2024-03-20 18:00:00+00:00,1.0865,1.09178,1.08647,1.09144,21488.0
2024-03-20 19:00:00+00:00,1.09144,1.09228,1.0902,1.09211,8956.0
2024-03-20 20:00:00+00:00,1.09211,1.09229,1.09187,1.0922,1737.0
2024-03-20 21:00:00+00:00,1.0922,1.09234,1.09194,1.09216,2161.0
2024-03-20 22:00:00+00:00,1.09216,1.09325,1.09216,1.09324,1356.0
2024-03-20 23:00:00+00:00,1.09324,1.09376,1.09293,1.09376,2003.0
2024-03-21 00:00:00+00:00,1.09376,1.09376,1.09308,1.09336,3604.0
2024-03-21 01:00:00+00:00,1.09336,1.0939,1.09332,1.09352,3420.0
2024-03-21 02:00:00+00:00,1.09352,1.09373,1.09327,1.09354,1659.0
2024-03-21 03:00:00+00:00,1.09354,1.09372,1.09336,1.09352,1557.0
2024-03-21 04:00:00+00:00,1.09352,1.09355,1.09328,1.09332,1401.0
2024-03-21 05:00:00+00:00,1.09332,1.09369,1.09318,1.09318,1465.0
2024-03-21 06:00:00+00:00,1.09318,1.09383,1.09318,1.09378,1866.0
2024-03-21 07:00:00+00:00,1.09378,1.09427,1.09256,1.09288,3324.0
2024-03-21 08:00:00+00:00,1.09288,1.09288,1.08874,1.08919,7599.0
2024-03-21 09:00:00+00:00,1.08919,1.09149,1.08892,1.0913,5167.0
2024-03-21 10:00:00+00:00,1.0913,1.09238,1.09122,1.09195,3224.0
2024-03-21 11:00:00+00:00,1.09195,1.09204,1.0905,1.09098,3096.0
2024-03-21 12:00:00+00:00,1.09098,1.09171,1.09036,1.09116,6275.0
2024-03-21 13:00:00+00:00,1.09116,1.09118,1.08844,1.08858,7270.0
2024-03-21 14:00:00+00:00,1.08858,1.0886,1.08707,1.0879,6921.0
2024-03-21 15:00:00+00:00,1.0879,1.08792,1.08558,1.08606,5404.0
2024-03-21 16:00:00+00:00,1.08606,1.08648,1.0858,1.0861,4772.0
2024-03-21 17:00:00+00:00,1.0861,1.08664,1.0856,1.08579,3007.0
2024-03-21 18:00:00+00:00,1.08579,1.08632,1.08574,1.08626,1840.0
2024-03-21 19:00:00+00:00,1.08626,1.0863,1.08556,1.0857,2194.0
2024-03-21 20:00:00+00:00,1.0857,1.08606,1.08568,1.08598,1192.0
2024-03-21 21:00:00+00:00,1.08598,1.08629,1.08594,1.08619,2930.0
2024-03-21 22:00:00+00:00,1.08619,1.08628,1.08606,1.0862,505.0
2024-03-21 23:00:00+00:00,1.0862,1.08632,1.08606,1.08622,929.0
2024-03-22 00:00:00+00:00,1.08622,1.08682,1.08621,1.08652,1562.0
2024-03-22 01:00:00+00:00,1.08652,1.08658,1.08501,1.08504,3095.0
2024-03-22 02:00:00+00:00,1.08504,1.08524,1.08387,1.08391,2686.0
2024-03-22 03:00:00+00:00,1.08391,1.08413,1.08359,1.0838,1821.0
2024-03-22 04:00:00+00:00,1.0838,1.0838,1.08312,1.08332,1456.0
2024-03-22 05:00:00+00:00,1.08332,1.08422,1.08332,1.08416,1883.0
2024-03-22 06:00:00+00:00,1.08416,1.08416,1.08271,1.08305,2436.0
2024-03-22 07:00:00+00:00,1.08305,1.08348,1.0821,1.08248,3592.0
2024-03-22 08:00:00+00:00,1.08248,1.08298,1.08082,1.08118,4238.0
2024-03-22 09:00:00+00:00,1.08118,1.08235,1.08118,1.08162,3830.0
2024-03-22 10:00:00+00:00,1.08162,1.08217,1.08146,1.08163,3052.0
2024-03-22 11:00:00+00:00,1.08163,1.08226,1.08116,1.08162,2753.0
2024-03-22 12:00:00+00:00,1.08162,1.08312,1.08146,1.08265,4686.0
2024-03-22 13:00:00+00:00,1.08265,1.08298,1.08186,1.08295,4112.0
